,id,name,order_menu,cuisines,timings,cost_for_two,price_range,currency,highlights,offers,user_rating,online_delivery,delivering,reservation_supported,has_table_booking,establishment,address,locality,city,city_id,latitude,longitude,zipcode,country_id,locality_verbose
0,19196130,Burger Lounge - Beach,0,"Sandwich, Burger",,300,1,Rs.,"Takeaway Available,Debit Card,Dinner,Delivery,Cash,Credit Card,Lunch,Indoor Seating,Digital Payments Accepted,Brunch,Air Conditioned",,3.4,1,0,0,0,Casual Dining,"8/282 A(a), Silk Street, Beach Old Corporation Office, Kuttichira, Kozhikode",Kuttichira,Kozhikode,11296,11.2537255268,75.7725622505,,1,"Kuttichira, Kozhikode"
1,19328145,The Beirut Blends,0,"Cafe, Arabian, BBQ, Continental",11am – 11pm (Mon-Sun),300,1,Rs.,"Delivery,Credit Card,Dinner,Takeaway Available,Debit Card,Lunch,Cash,Indoor Seating,Air Conditioned,Digital Payments Accepted",,3.6,1,0,0,0,Quick Bites,"Kunnathuparambil Complex, T.K Road, Thiruvalla Locality, Thiruvalla",Thiruvalla Locality,Thiruvalla,11798,9.3850460000,76.5769600000,,1,"Thiruvalla Locality, Thiruvalla"
2,19217165,chicking,0,"Cafe, Beverages",,400,2,Rs.,"Credit Card,Lunch,Takeaway Available,Cash,Dinner,Delivery,Debit Card,Indoor Seating,Brunch,Air Conditioned",,0,1,0,0,0,Casual Dining,"attingal junction, trivandrum, Attingal Locality, Attingal",Attingal Locality,Attingal,11689,8.6907476917,76.8223912641,,1,"Attingal Locality, Attingal"
3,19073916,Fig & The Bay,0,"Cafe Food, Coffee and Tea","8 AM to 4 PM (Wed-Sun), Mon & Tue Closed",0,1,$,"Cash,Credit Card,Debit Card,Lunch,Takeaway Available,Breakfast,Indoor Seating,Desserts and Bakes",,3.3,0,0,0,0,Café,"24 Liberty Crescent, Corinella, VIC",Corinella,Corinella,1395,-38.4166540000,145.4276240000,,14,"Corinella, Corinella"
4,16605193,Captains Creek Winery,0,"Pizza, Modern Australian","11 AM to 5 PM (Sat-Sun), Mon, Tue, Wed, Thu & Fri Closed",20,2,$,"Dinner,Cash,Debit Card,Lunch,Credit Card,Indoor Seating",,3.9,0,0,0,0,Fast Food,"Kangaroo Hills Rd, Blampied, Blampied",Blampied,Blampied,1562,-37.3491480000,144.0258790000,3364,14,"Blampied, Blampied"
5,19093874,G7 Family Restaurant,0,"Biryani, South Indian, North Indian, Andhra",,250,1,Rs.,"Cash,Lunch,Takeaway Available,Debit Card,Dinner,Indoor Seating,Air Conditioned,Outdoor Seating",,3.7,1,0,0,0,Casual Dining,"Bypass Road, Beside veda apprtments, Gudivada, Gudivada Locality, Gudivada",Gudivada Locality,Gudivada,11625,16.4440124899,81.0034696385,,1,"Gudivada Locality, Gudivada"
6,18485435,The Curry Culture,0,"Continental, Indian, Asian","11 AM to 11 PM (Mon-Thu), 24 Hours (Fri-Sun)",105,4,$,"Cash,Debit Card,Delivery,Lunch,Credit Card,Takeaway Available,Dinner,Indoor Seating,Brunch,Table booking recommended,Outdoor Seating,Air Conditioned,Fullbar",,4.9,0,0,0,0,Casual Dining,"31 Cuppage Road, Cuppage 229457","Somerset, Orchard",Singapore,52,1.3020669222,103.8403474400,229457,184,"Somerset, Orchard, Singapore"
7,16616162,Kooroomba Vineyards Restaurant,0,Modern Australian,"Closed (Mon-Tue),10 AM to 4 PM (Wed-Sun)",0,1,$,"Lunch,Outdoor Seating,Table booking recommended",,3.6,0,0,0,0,Casual Dining,"168 FM Bells Rd Mt Alford, Boonah",Boonah,Boonah,2731,-27.9973441000,152.6822350000,4310,14,"Boonah, Boonah"
8,18036361,Chong Co Thai Restaurant Warrawong,0,Thai,11 AM to 10 PM,0,1,$,"Lunch,Takeaway Available,Dinner,Cash,Debit Card,BYO,Beer,Table Reservation Not Required,Wine,Indoor Seating",,3.0,0,0,0,0,Casual Dining,"Shop 9A Warrawong Plaza corner, Cowper & King street, Warrawong",Warrawong,Warrawong,2187,-34.4863040000,150.8882040000,,14,"Warrawong, Warrawong"
9,19360573,Maa Hotel,0,"Arabian, Burger, Chinese, Kerala, North Indian, South Indian",11 AM to 11 PM,0,1,Rs.,"Takeaway Available,Delivery,Indoor Seating",,3.3,1,0,0,0,Casual Dining,"38/500(10), Maa Hotels, Ramanchira, Muthoor P O, Thiruvalla, Thiruvalla Locality, Thiruvalla",Thiruvalla Locality,Thiruvalla,11798,9.3954680000,76.5701490000,,1,"Thiruvalla Locality, Thiruvalla"
10,18483420,Burnt Ends,0,"American, European, Australian, Steak","6 PM to 12 Midnight (Mon-Tue),11:45 AM to 2 PM, 6 PM to 12 Midnight (Wed-Sat),Closed (Sun)",180,4,$,"Lunch,Cash,Debit Card,Dinner,Credit Card,Nightlife,Table booking recommended,Indoor Seating,Fullbar",,4.7,0,0,0,0,Bar,20 Teck Lim Road 088391,"Teck Lim Road, Outram",Singapore,52,1.2805618534,103.8418116040,088391,184,"Teck Lim Road, Outram, Singapore"
11,18482886,Corner House,0,"Continental, French","Closed (Mon),12 Noon to 3 PM, 6:30 PM to 11 PM (Tue-Sat),11:30 AM to 3 PM, 6:30 PM to 11 PM (Sun)",755,4,$,"Cash,Debit Card,Dinner,Credit Card,Lunch,Outdoor Seating,Private Dining Area Available,Wine,Indoor Seating,Michelin Starred,Table booking recommended",,4.8,0,0,0,0,Fine Dining,"1 Cluny Road, Botanic Gardens, East J H Corner House, Nassim Gate 259569","Tyersall, Tanglin",Singapore,52,1.3149352421,103.8155637380,259569,184,"Tyersall, Tanglin, Singapore"
12,18483222,Jaan,0,French,"12 Noon to 2:30 PM, 7 PM to 11 PM (Mon-Sat),7 PM to 11 PM (Sun)",300,4,$,"Cash,Dinner,Lunch,Indoor Seating,Wine,Michelin Starred,Table booking recommended",,4.7,0,0,0,0,Fine Dining,"2 Stamford Road, Level 70 Equinox Complex, Downtown Core, Singapore 178882","Raffles City Shopping Centre, Downtown Core",Singapore,52,1.2932206979,103.8536047740,178882,184,"Raffles City Shopping Centre, Downtown Core, Singapore"
13,18496038,Lau Pa Sat,0,"Indonesian, Singaporean, Chinese, Vietnamese, Seafood, Japanese",24 Hours (Mon-Sun),35,3,$,"Cash,Breakfast,Lunch,Takeaway Available,No Alcohol Available,Dinner,Indoor Seating,Outdoor Seating",,4.9,0,0,0,0,Hawker Centre,"18 Raffles Quay, #01- Lau Pa Sat Festival Market 048582","Cecil Street 10 02, Downtown Core",Singapore,52,1.2806175000,103.8504945000,048582,184,"Cecil Street 10 02, Downtown Core, Singapore"
14,18484349,Cut By Wolfgang Puck,0,"American, Steak","5:30 PM to 11 PM (Mon, Tue, Wed, Thu, Sun), 5:30 PM to 12 Midnight (Fri-Sat)",270,4,$,"Cash,Debit Card,Dinner,Credit Card,Lunch,Indoor Seating,Fullbar,Private Dining Area Available,Michelin Starred,Table booking recommended",,4.9,0,0,0,0,Fine Dining,"2 Bayfront Avenue, B1-71 Marina Bay Sands 018972","The Shoppes, Downtown Core",Singapore,52,1.2854769314,103.8594221960,018972,184,"The Shoppes, Downtown Core, Singapore"
15,16606695,Yinnar Pub,0,Others,,20,2,$,"Lunch,Dinner",,3.2,0,0,0,0,,"46 Main Street, Yinnar, Yinnar",Yinnar,Yinnar,1372,-38.3223815000,146.3275625000,3869,14,"Yinnar, Yinnar"
16,18484464,Colony,0,"Asian, Continental, Seafood, Bakery",6:30 AM to 10:30 PM (Mon-Sun),220,4,$,"Cash,Debit Card,Lunch,Credit Card,Takeaway Available,Breakfast,Dinner,Indoor Seating,Vegetarian Friendly,Brunch,High Tea,Wine,Table booking recommended,Kid Friendly,Desserts and Bakes,Fullbar,Beer,Buffet",,4.9,0,0,0,0,Casual Dining,"7 Raffles Avenue, The Ritz-Carlton 039799","Marina Centre, Downtown Core",Singapore,52,1.2905805000,103.8599550000,039799,184,"Marina Centre, Downtown Core, Singapore"
17,18483714,Fratini La Trattoria,0,Italian,"Closed (Mon),12 Noon to 1:45 PM, 6 PM to 8:45 PM (Tue-Sun)",100,4,$,"Cash,Debit Card,Dinner,Credit Card,Lunch,Outdoor Seating,Air Conditioned,Wine,Indoor Seating,Private Dining Area Available,Table booking recommended",,4.8,0,0,0,0,Casual Dining,"10 Greenwood Avenue, Hillcrest Park 289201","Hillcrest, Bukit Timah",Singapore,52,1.3311283969,103.8070809380,289201,184,"Hillcrest, Bukit Timah, Singapore"
18,18483085,Rhubarb Le Restaurant,0,French,"11:45 AM to 2:30 PM, 6:30 PM to 10 PM (Mon-Fri),6 PM to 10:30 PM (Sat),Closed (Sun)",315,4,$,"Cash,Lunch,Dinner,Table booking recommended,Indoor Seating,Wine",,4.3,0,0,0,0,Casual Dining,"3 Duxton Hill, Duxton, Outram, Singapore 089589","Duxton Hill, Outram",Singapore,52,1.2794436301,103.8430222220,089589,184,"Duxton Hill, Outram, Singapore"
